시군명,사업장명,인허가일자,영업상태명,입소정원(명),자격소유인원수(명),총인원수(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
시흥시,시흥장애인종합복지관 부설 장애인주간보호시설,20040409,운영중,17,2,3,경기도 시흥시 정왕대로233번길 27-1,경기도 시흥시 정왕동 1800-9번지,15055,37.3475321894,126.7410833109
시흥시,하나더하기장애인주간보호시설,20160111,운영중,10,,5,,경기도 시흥시 하중동,,37.3957978318,126.7999332865
안산시,안산시장애인주간보호시설,20131219,운영중,30,8,3,,"경기도 안산시 상록구 본오동 1층,2층",,37.2874345328,126.8635670211
안산시,안산밀알센터,20080101,운영중,30,3,3,경기도 안산시 단원구 원포공원1로 60,경기도 안산시 단원구 초지동 742-3번지 다인타운 505호,15455,37.3031475395,126.8113828065
안산시,행복한길,20050201,운영중,0,2,3,경기도 안산시 상록구 중보로 49,경기도 안산시 상록구 이동 716-3번지 408호,15495,37.3075943570,126.8520694438
안산시,꿈꾸는 둥지,20050711,운영중,11,3,5,경기도 안산시 상록구 시낭공원안길 22,경기도 안산시 상록구 부곡동 715-1번지,15275,37.3364169477,126.8584664127
안산시,해밀장애인주간보호센터,20130212,운영중,12,3,5,경기도 안산시 단원구 선부로 183,경기도 안산시 단원구 선부동 1087-11번지 화성프라자 제6층 4호,15217,37.3419157489,126.8153583107
안산시,해밀장애인주간보호센터,20140325,운영중,12,5,5,,경기도 안산시 단원구 선부동 화성프라자 4호,,37.3468005863,126.8051099717
안산시,라온우리 장애인주간보호센터,20130524,운영중,12,2,2,,경기도 안산시 단원구 초지동,,37.3097957486,126.7945922393
안산시,하늘빛 샘,20100520,운영중,20,3,3,경기도 안산시 상록구 중보로 49,경기도 안산시 상록구 이동 716-3번지 숭실프라자 408호,15495,37.3075943570,126.8520694438
안산시,맑은동산,20080602,운영중,20,3,3,경기도 안산시 상록구 중보로 55,경기도 안산시 상록구 이동 716-1번지 704호,15495,37.3078653087,126.8525765005
안산시,행복한길,20070403,운영중,20,3,4,경기도 안산시 상록구 중보로 49,경기도 안산시 상록구 이동 716-3번지,15495,37.3075943570,126.8520694438
안산시,빛과둥지주간,20060201,운영중,16,2,3,경기도 안산시 상록구 시낭공원안길 22,경기도 안산시 상록구 부곡동 715-1번지,15275,37.3364169477,126.8584664127
안산시,행복한길,20050201,운영중,12,2,3,,경기도 안산시 상록구 본오동 880번지 21 21동 102호,,37.2937045183,126.8625968435
안성시,안성시장애인주간보호시설,20000124,운영중,30,3,3,,경기도 안성시 현수동 장애인복지관,17596,36.9947196201,127.2847763690
안양시,안양시관악장애인주간보호센터,19990226,운영중,30,8,8,경기도 안양시 만안구 경수대로 1132,경기도 안양시 만안구 안양동 22-1번지,13914,37.4124408891,126.9207062940
안양시,희망아카데미장애인주간보호센터,20170308,운영중,12,,2,경기도 안양시 동안구 엘에스로 45,경기도 안양시 동안구 호계동 대영골든타워 206호,14121,37.3673370589,126.9547236869
안양시,안양시수리장애인주간보호센터,20031105,운영중,28,4,4,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안구 안양동 477-1번지,14091,37.3847482400,126.9272291195
안양시,안양시만안장애인주간보호센터,20170102,운영중,20,5,5,,경기도 안양시 만안구 안양동,,37.4021547670,126.9129697910
안양시,다누리장애인주간보호센터,20160826,운영중,12,,,경기도 안양시 만안구 안양로 511,경기도 안양시 만안구 석수동 리사빌딩,13968,37.4145755752,126.9077588124
양주시,양주시 장애인주간보호시설,20080104,운영중,10,4,,,경기도 양주시 백석읍 홍죽리,,37.7968741873,126.9648236392
양주시,행복한 주간보호센터,20060901,운영중,15,2,3,,경기도 양주시 백석읍 연곡리 나동,11502,37.8143517636,126.9624865693
양평군,양평군성인장애인주간보호센터,20150720,운영중,24,3,,,경기도 양평군 양평읍,,37.4962527601,127.5147700595
양평군,창인주간보호시설,19990510,운영중,13,2,3,,경기도 양평군 단월면 덕수리 213-7번지,12528,37.5460249980,127.6822640625
여주시,여주시장애인주간보호센터,20061204,운영중,15,3,3,경기도 여주시 점동면 가남로 1007-69,경기도 여주시 점동면 청안리 486-2번지,12667,37.2095345677,127.6426692014
여주시,여주시장애인복지관 부설 장애인주간보호센터,20100503,운영중,12,3,,경기도 여주시 청심로 105,경기도 여주시 하동 199-4번지,12619,37.2994395815,127.6322754440
연천군,수레울장애인주간보호센터,20130506,운영중,15,,1,,경기도 연천군 전곡읍 전곡리,,38.0308241474,127.0689661643
오산시,오산남부장애인주간보호센터,20080826,운영중,20,5,4,경기도 오산시 오산로132번길 28-5,경기도 오산시 원동 404-10번지,18143,37.1385637715,127.0722789591
오산시,오산세교장애인주간보호센터,20160601,운영중,18,4,4,,경기도 오산시 금암동,,37.1781765187,127.0478119910
용인시,용인시처인장애인복지관 부설 주간보호센터,20050915,운영중,16,3,3,경기도 용인시 처인구 경안천로 318,경기도 용인시 처인구 고림동 954-1번지,17038,37.2593245080,127.2189235473
용인시,포도나무주간보호센터,20080910,운영중,22,1,4,경기도 용인시 수지구 만현로 82-6,경기도 용인시 수지구 상현동 64-2번지,16929,37.3097606758,127.0859722592
용인시,다솜의 집,19981109,운영중,40,1,10,,경기도 용인시 처인구 포곡읍 삼계리,,37.2848135578,127.2291001276
용인시,용인시장애인주간보호센터 라온,20090313,운영중,16,4,4,경기도 용인시 처인구 양지면 한터로 341-23,경기도 용인시 처인구 양지면 주북리 700-1번지,17039,37.2591883468,127.2428437797
용인시,용인시수지장애인복지관 부설 주간보호센터,20120213,운영중,16,,,,경기도 용인시 수지구 풍덕천동,,37.3240316619,127.0876464761
용인시,용인시기흥장애인복지관 부설 주간보호센터,20051206,운영중,50,5,2,경기도 용인시 기흥구 용구대로2469번길 94,경기도 용인시 기흥구 보정동 1097-8번지,16905,37.3152053856,127.1056862559
용인시,두나미스,20120601,운영중,15,2,3,경기도 용인시 수지구 현암로 119,경기도 용인시 수지구 죽전동 죽전메디뷰 601호,16875,37.3318946080,127.1223860758
용인시,더사랑주간보호센터,20020331,운영중,30,4,4,,경기도 용인시 기흥구 신갈동,,37.2857720056,127.1021053366
용인시,향상행복한센터,20180814,운영중,10,3,4,,경기도 용인시 기흥구 상하동 향상교회,,37.2552012416,127.1524966096
