Based_Year,City,Total,Men_Tot,Women_Tot,Fir_Ord_Dis_Tot,Fir_Ord_Dis_Men,Fir_Ord_Dis_Wom,Sec_Ord_Dis_Tot,Sec_Ord_Dis_Men,Sec_Ord_Dis_Wom,Thi_Ord_Dis_Tot,Thi_Ord_Dis_Men,Thi_Ord_Dis_Wom,Fou_Ord_Dis_Tot,Fou_Ord_Dis_Men,Fou_Ord_Dis_Wom,Fif_Ord_Dis_Tot,Fif_Ord_Dis_Men,Fif_Ord_Dis_Wom,Six_Ord_Dis_Tot,Six_Ord_Dis_Men,Six_Ord_Dis_Wom
2014,포천시,9712,5980,3732,791,475,316,1284,782,502,1697,1107,590,1509,829,680,1954,1129,825,2477,1658,819
2014,하남시,6882,4135,2747,569,336,233,843,535,308,1144,729,415,974,517,457,1521,819,702,1831,1199,632
2014,화성시,20577,12678,7899,1612,947,665,2588,1524,1064,3444,2160,1284,2880,1603,1277,4259,2507,1752,5794,3937,1857
2013,가평군,5184,3057,2127,755,438,317,851,501,350,927,581,346,697,365,332,948,489,459,1006,683,323
2013,고양시,36132,20755,15377,3555,2060,1495,4880,2747,2133,5899,3598,2301,5198,2553,2645,7723,4089,3634,8877,5708,3169
2013,과천시,2154,1202,952,175,104,71,326,189,137,357,202,155,298,142,156,469,228,241,529,337,192
2013,광명시,14213,8480,5733,1117,654,463,1932,1113,819,2384,1502,882,2154,1107,1047,2978,1693,1285,3648,2411,1237
2013,광주시,12844,7945,4899,1246,735,511,1606,945,661,2062,1295,767,1767,1009,758,2675,1530,1145,3488,2431,1057
2013,구리시,8050,4820,3230,543,326,217,1026,614,412,1389,886,503,1118,583,535,1734,942,792,2240,1469,771
2013,군포시,10980,6400,4580,903,528,375,1394,774,620,1821,1074,747,1626,841,785,2395,1316,1079,2841,1867,974
2013,김포시,13211,8009,5202,1157,677,480,1648,1000,648,2202,1377,825,1977,1057,920,2880,1605,1275,3347,2293,1054
2013,남양주시,27048,16257,10791,2048,1228,820,3356,2020,1336,4515,2754,1761,3903,2100,1803,5795,3216,2579,7431,4939,2492
2013,동두천시,5643,3289,2354,462,278,184,846,473,373,1120,702,418,877,471,406,1111,604,507,1227,761,466
2013,부천시,35604,21753,13851,2784,1688,1096,4631,2726,1905,6269,3912,2357,5470,3017,2453,7228,4097,3131,9222,6313,2909
2013,성남시,35921,20921,15000,3243,1857,1386,4890,2834,2056,5993,3609,2384,5306,2719,2587,7239,3871,3368,9250,6031,3219
2013,수원시,39856,23597,16259,3245,1857,1388,5152,2946,2206,6717,4039,2678,5613,3002,2611,8070,4448,3622,11059,7305,3754
2013,시흥시,16583,10481,6102,1153,683,470,1954,1148,806,2981,1893,1088,2429,1431,998,3497,2061,1436,4569,3265,1304
2013,안산시,32507,20368,12139,2436,1408,1028,3941,2306,1635,5437,3492,1945,4487,2690,1797,7252,4246,3006,8954,6226,2728
2013,안성시,10100,6132,3968,846,525,321,1429,824,605,1740,1146,594,1477,769,708,2060,1131,929,2548,1737,811
2013,안양시,21955,12916,9039,1593,939,654,2846,1682,1164,3588,2165,1423,3274,1659,1615,4851,2610,2241,5803,3861,1942
2013,양주시,10214,6043,4171,814,470,344,1457,775,682,1886,1155,731,1454,797,657,2105,1177,928,2498,1669,829
2013,양평군,6982,4059,2923,759,430,329,1000,585,415,1162,729,433,1060,538,522,1459,779,680,1542,998,544
